# command:    ssu-cmsearch --hmm-cW 1.5 --no-null3 --noalign -T -1 --tab Lactobacillus_16S_renamed_filt_aligned/Lactobacillus_16S_renamed_filt_aligned.tab --viterbi /home/adamsorbie/miniconda3/envs/bioinfo/share/ssu-align-0.1.1/ssu-align-0p1.cm Lactobacillus_16S_renamed_filt.fna
# date:       Wed Jun 17 12:06:20 2020
# num seqs:   155
# dbsize(Mb): 0.486716
#
# Pre-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: archaea
#                                                          target coord   query coord                         
#                                                ----------------------  ------------                         
# model name  target name                             start        stop  start   stop    bit sc   E-value  GC%
# ----------  ---------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  archaea     Lactobacillus_amylovorus                   49        1557      1   1508    723.03         -   53
  archaea     Lactobacillus_B_hayakitensis               50        1555      1   1508    746.85         -   52
  archaea     Lactobacillus_H_wasatchensis               49        1569      1   1508    727.08         -   51
  archaea     Lactobacillus_H_equigenerosi               50        1570      1   1508    740.06         -   53
  archaea     Lactobacillus_G_collinoides              1509           1      1   1508    728.73         -   52
  archaea     Lactobacillus_kitasatonis                1508           1      1   1508    723.41         -   53
  archaea     Lactobacillus_sp002911475                1509           1      1   1508    746.15         -   53
  archaea     Lactobacillus_kefiranofaciens            1509           1      1   1508    728.11         -   54
  archaea     Lactobacillus_intestinalis               1513           1      1   1508    728.85         -   54
  archaea     Lactobacillus_C_rhamnosus                1515           1      1   1508    762.95         -   52
  archaea     Lactobacillus_crispatus                    49        1557      1   1508    722.57         -   53
  archaea     Lactobacillus_H_timonensis                 49        1568      1   1508    741.68         -   54
  archaea     Lactobacillus_O_cacaonum                  912         922      1   1508     -1.00         -   45
  archaea     Lactobacillus_O_cacaonum                 1504           1      1   1508    725.07         -   51
  archaea     Lactobacillus_O_nagelii                    49        1553      1   1508    723.90         -   52
  archaea     Lactobacillus_jensenii                   1508           1      1   1508    734.09         -   52
  archaea     Lactobacillus_H_frumenti                   50        1569      1   1508    770.08         -   54
  archaea     Lactobacillus_bombicola                  1511           1      1   1508    739.31         -   52
  archaea     Lactobacillus_B_animalis                   50        1558      1   1508    740.37         -   52
  archaea     Lactobacillus_B_animalis                  647         639      1   1508     -0.03         -   56
  archaea     Lactobacillus_ultunensis                   49        1557      1   1508    728.93         -   54
  archaea     Lactobacillus_F_plantarum_A                50        1561      1   1508    730.71         -   51
  archaea     Lactobacillus_johnsonii                  1518           1      1   1508    751.97         -   52
  archaea     Lactobacillus_C_paracasei                1515           1      1   1508    764.42         -   53
  archaea     Lactobacillus_amylolyticus               1509           1      1   1508    745.47         -   54
  archaea     Lactobacillus_G_paucivorans                48        1558      1   1508    736.32         -   52
  archaea     Lactobacillus_H_oris                       50        1569      1   1508    736.22         -   54
  archaea     Lactobacillus_H_gastricus                  49        1567      1   1508    749.69         -   53
  archaea     Lactobacillus_G_parafarraginis           1519           1      1   1508    747.11         -   52
  archaea     Lactobacillus_O_aquaticus                1504           1      1   1508    733.84         -   51
  archaea     Lactobacillus_G_diolivorans              1520           1      1   1508    743.85         -   52
  archaea     Lactobacillus_G_micheneri                1517           1      1   1508    734.94         -   50
  archaea     Lactobacillus_K_mindensis                1512           1      1   1508    735.87         -   51
  archaea     Lactobacillus_sp002916935                  48        1560      1   1508    728.13         -   52
  archaea     Lactobacillus_G_rapi                       48        1567      1   1508    735.98         -   52
  archaea     Lactobacillus_G_lindneri                   49        1570      1   1508    732.37         -   52
  archaea     Lactobacillus_B_ruminis_A                 912         920      1   1508     -0.03         -   56
  archaea     Lactobacillus_B_ruminis_A                1511           1      1   1508    724.92         -   51
  archaea     Lactobacillus_E_backii                     49        1562      1   1508    747.72         -   52
  archaea     Lactobacillus_C_casei                      49        1563      1   1508    763.16         -   53
  archaea     Lactobacillus_K_crustorum                1512           1      1   1508    722.41         -   51
  archaea     Lactobacillus_iners                      1516           1      1   1508    764.37         -   53
  archaea     Lactobacillus_N_composti                   50        1555      1   1508    755.04         -   52
  archaea     Lactobacillus_C_brantae                  1518           1      1   1508    761.61         -   52
  archaea     Lactobacillus_G_spicheri                 1511           1      1   1508    722.27         -   52
  archaea     Lactobacillus_G_farraginis               1519           1      1   1508    746.88         -   54
  archaea     Lactobacillus_D_fuchuensis                 50        1565      1   1508    777.72         -   52
  archaea     Lactobacillus_F_sp002970915                50        1568      1   1508    721.40         -   51
  archaea     Lactobacillus_B_murinus                    50        1558      1   1508    748.18         -   52
  archaea     Lactobacillus_B_murinus                   647         639      1   1508     -0.03         -   56
  archaea     Lactobacillus_B_aviarius_D                 50        1557      1   1508    729.41         -   51
  archaea     Lactobacillus_G_odoratitofui             1511           1      1   1508    743.14         -   53
  archaea     Lactobacillus_K_futsaii                    49        1560      1   1508    725.46         -   51
  archaea     Lactobacillus_I_siliginis                  50        1569      1   1508    705.46         -   51
  archaea     Lactobacillus_C_pantheris                1518           1      1   1508    711.58         -   52
  archaea     Lactobacillus_H_sp900156885                49        1567      1   1508    749.44         -   54
  archaea     Lactobacillus_acetotolerans              1515           1      1   1508    722.65         -   52
  archaea     Lactobacillus_H_hokkaidonensis             49        1572      1   1508    728.73         -   51
  archaea     Lactobacillus_H_hokkaidonensis            100          93      1   1508     -0.66         -   50
  archaea     Lactobacillus_E_rennini                    48        1561      1   1508    744.44         -   54
  archaea     Lactobacillus_K_heilongjiangensis        1512           1      1   1508    718.88         -   51
  archaea     Lactobacillus_O_uvarum                   1504           1      1   1508    736.29         -   51
  archaea     Lactobacillus_G_kunkeei                    48        1566      1   1508    732.89         -   51
  archaea     Lactobacillus_G_similis                  1511           1      1   1508    745.03         -   53
  archaea     Lactobacillus_H_antri                      50        1570      1   1508    738.70         -   54
  archaea     Lactobacillus_G_curieae                  1521           1      1   1508    771.13         -   52
  archaea     Lactobacillus_K_nodensis                 1517           1      1   1508    747.80         -   51
  archaea     Lactobacillus_G_kunkeei_B                  48        1566      1   1508    731.78         -   50
  archaea     Lactobacillus_K_farciminis_A               49        1560      1   1508    728.31         -   51
  archaea     Lactobacillus_hominis                    1517           1      1   1508    750.91         -   52
  archaea     Lactobacillus_O_oeni                       49        1554      1   1508    736.85         -   52
  archaea     Lactobacillus_F_fabifermentans             50        1560      1   1508    712.45         -   51
  archaea     Lactobacillus_kalixensis                   48        1556      1   1508    747.90         -   53
  archaea     Lactobacillus_B_aviarius                 1508           1      1   1508    729.39         -   51
  archaea     Lactobacillus_pasteurii                  1509           1      1   1508    756.45         -   54
  archaea     Lactobacillus_kullabergensis             1511           1      1   1508    732.86         -   53
  archaea     Lactobacillus_melliventris                 48        1852      1   1508    669.17         -   52
  archaea     Lactobacillus_K_tucceti                  1519           1      1   1508    768.45         -   51
  archaea     Lactobacillus_K_mellis                   1508           1      1   1508    763.48         -   54
  archaea     Lactobacillus_G_apinorum                    2        1833      1   1508    623.47         -   51
  archaea     Lactobacillus_floricola                  1518           1      1   1508    791.03         -   50
  archaea     Lactobacillus_H_pontis_A                   49        1569      1   1508    772.30         -   54
  archaea     Lactobacillus_taiwanensis                1518           1      1   1508    751.27         -   52
  archaea     Lactobacillus_L_dextrinicus                49        1567      1   1508    762.54         -   51
  archaea     Lactobacillus_G_zymae                    1511           1      1   1508    737.54         -   52
  archaea     Lactobacillus_G_bambusae                 1512           1      1   1508    694.84         -   53
  archaea     Lactobacillus_H_ingluviei                1520           1      1   1508    751.16         -   54
  archaea     Lactobacillus_H_vaccinostercus           1523           1      1   1508    722.46         -   52
  archaea     Lactobacillus_acidophilus                1509           1      1   1508    732.57         -   54
  archaea     Lactobacillus_H_suebicus                   49        1570      1   1508    727.71         -   52
  archaea     Lactobacillus_G_sunkii                     48        1567      1   1508    730.01         -   52
  archaea     Lactobacillus_K_alimentarius               49        1560      1   1508    715.40         -   50
  archaea     Lactobacillus_B_equi                     1507           1      1   1508    769.61         -   52
  archaea     Lactobacillus_C_camelliae                1517           1      1   1508    743.45         -   53
  archaea     Lactobacillus_F_sp002970935                50        1568      1   1508    722.65         -   51
  archaea     Lactobacillus_G_hilgardii                  48        1566      1   1508    739.41         -   52
  archaea     Lactobacillus_G_quenuiae                 1518           1      1   1508    734.65         -   51
  archaea     Lactobacillus_gasseri_A                    48        1565      1   1508    748.89         -   52
  archaea     Lactobacillus_equicursoris               1507           1      1   1508    785.35         -   54
  archaea     Lactobacillus_gallinarum                 1507           1      1   1508    720.64         -   54
  archaea     Lactobacillus_K_kimchiensis              1512           1      1   1508    726.09         -   51
  archaea     Lactobacillus_K_ginsenosidimutans        1519           1      1   1508    755.21         -   51
  archaea     Lactobacillus_K_nantensis                  49        1560      1   1508    726.73         -   51
  archaea     Lactobacillus_C_nasuensis                  48        1561      1   1508    784.19         -   53
  archaea     Lactobacillus_H_oligofermentans          1519           1      1   1508    739.94         -   52
  archaea     Lactobacillus_F_xiangfangensis           1511           1      1   1508    723.79         -   52
  archaea     Lactobacillus_O_mali                     1505           1      1   1508    720.51         -   51
  archaea     Lactobacillus_G_senmaizukei              1511           1      1   1508    749.20         -   52
  archaea     Lactobacillus_G_brevis                   1511           1      1   1508    735.83         -   52
  archaea     Lactobacillus_D_sakei_A                    50        1568      1   1508    782.92         -   52
  archaea     Lactobacillus_K_paralimentarius_A          49        1560      1   1508    711.80         -   51
  archaea     Lactobacillus_H_reuteri                    49        1569      1   1508    746.19         -   54
  archaea     Lactobacillus_amylophilus                1519           1      1   1508    755.84         -   51
  archaea     Lactobacillus_O_ghanensis                  49        1553      1   1508    725.31         -   52
  archaea     Lactobacillus_sp000760615                  48        1558      1   1508    734.55         -   53
  archaea     Lactobacillus_helveticus                  686         876      1   1508     -0.40         -   52
  archaea     Lactobacillus_helveticus                 1509           1      1   1508    716.62         -   53
  archaea     Lactobacillus_D_sakei                    1519           1      1   1508    785.06         -   52
  archaea     Lactobacillus_M_selangorensis            1749         247      1   1508    736.24         -   52
  archaea     Lactobacillus_O_satsumensis              1506           1      1   1508    736.61         -   52
  archaea     Lactobacillus_G_kisonensis               1520           1      1   1508    720.32         -   52
  archaea     Lactobacillus_G_acidifarinae             1511           1      1   1508    738.39         -   52
  archaea     Lactobacillus_B_apodemi                   858         866      1   1508     -0.03         -   56
  archaea     Lactobacillus_B_apodemi                  1455          74      1   1508    654.63         -   52
  archaea     Lactobacillus_G_fructivorans             1521           1      1   1508    758.93         -   52
  archaea     Lactobacillus_G_parabrevis               1511           1      1   1508    743.34         -   52
  archaea     Lactobacillus_K_sp002762335              1519           1      1   1508    751.02         -   51
  archaea     Lactobacillus_K_allii                      49        1570      1   1508    760.70         -   51
  archaea     Lactobacillus_G_senioris                   49        1568      1   1508    758.33         -   53
  archaea     Lactobacillus_L_concavus                 1519           1      1   1508    762.94         -   52
  archaea     Lactobacillus_K_paralimentarius            49        1560      1   1508    710.94         -   51
  archaea     Lactobacillus_G_parabuchneri             1520           1      1   1508    730.01         -   52
  archaea     Lactobacillus_F_plantarum                1512           1      1   1508    731.59         -   51
  archaea     Lactobacillus_gasseri                    1518           1      1   1508    748.89         -   52
  archaea     Lactobacillus_O_capillatus               1504           1      1   1508    727.40         -   51
  archaea     Lactobacillus_F_herbarum                   50        1562      1   1508    720.06         -   51
  archaea     Lactobacillus_G_ozensis                    47        1560      1   1508    729.67         -   50
  archaea     Lactobacillus_B_ruminis                    50        1557      1   1508    757.53         -   52
  archaea     Lactobacillus_D_graminis                   50        1566      1   1508    786.95         -   52
  archaea     Lactobacillus_A_algidus                    49        1555      1   1508    765.87         -   51
  archaea     Lactobacillus_C_saniviri                   48        1565      1   1508    742.98         -   52
  archaea     Lactobacillus_E_coryniformis             1515           1      1   1508    752.64         -   52
  archaea     Lactobacillus_K_sp002872255                49        1560      1   1508    729.63         -   51
  archaea     Lactobacillus_jensenii_A                   48        1555      1   1508    724.26         -   52
  archaea     Lactobacillus_G_florum                     49        1567      1   1508    732.03         -   52
  archaea     Lactobacillus_G_namurensis                 48        1558      1   1508    747.68         -   53
  archaea     Lactobacillus_F_pentosus                   50        1561      1   1508    731.46         -   51
  archaea     Lactobacillus_H_reuteri_D                  49        1569      1   1508    742.39         -   54
  archaea     Lactobacillus_G_raoultii                  174        1691      1   1508    745.71         -   53
  archaea     Lactobacillus_helsingborgensis             48        1558      1   1508    725.38         -   52
  archaea     Lactobacillus_D_curvatus                   50        1563      1   1508    779.85         -   52
  archaea     Lactobacillus_H_vaginalis_A              1520           1      1   1508    767.23         -   54
  archaea     Lactobacillus_O_sucicola                 1504           1      1   1508    729.36         -   51
  archaea     Lactobacillus_G_paracollinoides            49        1557      1   1508    724.29         -   52
  archaea     Lactobacillus_O_mali_A                   1466           1      1   1508    642.92         -   51
  archaea     Lactobacillus_H_secaliphilus               49        1568      1   1508    758.29         -   54
  archaea     Lactobacillus_K_farciminis                 49        1560      1   1508    718.67         -   51
  archaea     Lactobacillus_H_coleohominis             1520           1      1   1508    728.18         -   54
  archaea     Lactobacillus_C_thailandensis            1516           1      1   1508    712.48         -   52
  archaea     Lactobacillus_B_agilis                     49        1556      1   1508    740.41         -   51
  archaea     Lactobacillus_psittaci                   1508           1      1   1508    733.01         -   52
  archaea     Lactobacillus_hamsteri                   1507           1      1   1508    738.88         -   53
#
# Post-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut  num hits  surv fract
# ---  ---  ---  ---  -----  ----------  --------  ----------
#   1  hmm  vit  loc      -       -1.00       162      0.4835
#
#    run time  (hr:min:sec)
# -----------
#    00:00:46
#
# Pre-search info for CM 2: bacteria
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: bacteria
#                                                          target coord   query coord                         
#                                                ----------------------  ------------                         
# model name  target name                             start        stop  start   stop    bit sc   E-value  GC%
# ----------  ---------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  bacteria    Lactobacillus_amylovorus                    1        1559      1   1582   2082.12         -   53
  bacteria    Lactobacillus_B_hayakitensis                1        1557      1   1582   2125.91         -   52
