# command:    ssu-cmsearch --hmm-cW 1.5 --no-null3 --noalign -T -1 --tab concat_seqs_filt_aligned/concat_seqs_filt_aligned.tab --viterbi /home/adamsorbie/miniconda3/envs/bioinfo/share/ssu-align-0.1.1/ssu-align-0p1.cm concat_seqs_filt.fna
# date:       Wed Jun 17 12:04:13 2020
# num seqs:   63
# dbsize(Mb): 0.196868
#
# Pre-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: archaea
#                                                           target coord   query coord                         
#                                                 ----------------------  ------------                         
# model name  target name                              start        stop  start   stop    bit sc   E-value  GC%
# ----------  ----------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  archaea     Parabacteroides_timonensis                1472           1      1   1508    590.28         -   51
  archaea     Parabacteroides_johnsonii                   49        1524      1   1508    578.53         -   51
  archaea     Parabacteroides_sp900155425                 49        1524      1   1508    583.42         -   51
  archaea     Parabacteroides_goldsteinii               1472           1      1   1508    590.36         -   51
  archaea     Parabacteroides_merdae                     931         946      1   1508      1.72         -   38
  archaea     Parabacteroides_merdae                    1476           1      1   1508    580.41         -   52
  archaea     Parabacteroides_bouchesdurhonensis          49        1521      1   1508    570.66         -   52
  archaea     Parabacteroides_gordonii                  1472           1      1   1508    594.75         -   51
  archaea     Parabacteroides_gordonii                  3248        2319      1   1508    276.57         -   49
  archaea     Parabacteroides_distasonis                1472           1      1   1508    629.25         -   55
  archaea     Parabacteroides_chinchillae               1473           1      1   1508    576.19         -   52
  archaea     Odoribacter_laneus                        1471           1      1   1508    544.89         -   52
  archaea     Odoribacter_massiliensis                    49        1522      1   1508    548.31         -   52
  archaea     Odoribacter_splanchnicus                  1469           1      1   1508    529.27         -   51
  archaea     Bacteroides_fragilis_A                    1474           1      1   1508    582.85         -   51
  archaea     Bacteroides_caecimuris                      49        1522      1   1508    570.66         -   51
  archaea     Bacteroides_togonis                       1473           1      1   1508    566.74         -   54
  archaea     Bacteroides_B_sartorii                    1472           1      1   1508    527.99         -   52
  archaea     Bacteroides_fragilis                      1474           1      1   1508    577.86         -   51
  archaea     Bacteroides_stercoris                     1472           1      1   1508    554.91         -   52
  archaea     Bacteroides_thetaiotaomicron                49        1523      1   1508    539.41         -   51
  archaea     Bacteroides_A_salanitronis                  49        1526      1   1508    537.93         -   58
  archaea     Bacteroides_nordii                          49        1515      1   1508    564.42         -   51
  archaea     Bacteroides_reticulotermitis                49        1515      1   1508    522.45         -   50
  archaea     Bacteroides_rodentium                       49        1519      1   1508    531.02         -   52
  archaea     Bacteroides_zoogleoformans                  49        1521      1   1508    519.15         -   54
  archaea     Bacteroides_faecichinchillae                49        1517      1   1508    546.20         -   50
  archaea     Bacteroides_pyogenes_A                    1473           1      1   1508    554.73         -   52
  archaea     Bacteroides_helcogenes                    1470           1      1   1508    508.94         -   53
  archaea     Bacteroides_A_coprocola                   1473           1      1   1508    516.88         -   52
  archaea     Bacteroides_A_coprophilus                 1476           1      1   1508    551.90         -   54
  archaea     Bacteroides_ovatus                          49        1522      1   1508    556.93         -   50
  archaea     Bacteroides_A_sp900066445                   49        1521      1   1508    521.22         -   52
  archaea     Bacteroides_fluxus                          49        1518      1   1508    532.60         -   53
  archaea     Bacteroides_uniformis                     1472           1      1   1508    553.87         -   52
  archaea     Bacteroides_finegoldii                     807        2093      1   1508    528.77         -   51
  archaea     Bacteroides_salyersiae                      49        1516      1   1508    587.78         -   52
  archaea     Bacteroides_cellulosilyticus              1468           1      1   1508    549.64         -   51
  archaea     Bacteroides_massiliensis                  1473           1      1   1508    571.69         -   55
  archaea     Bacteroides_A_sp900066455                   49        1521      1   1508    547.51         -   54
  archaea     Bacteroides_ihuae                           49        1512      1   1508    539.76         -   51
  archaea     Bacteroides_ihuae                          663         648      1   1508     -0.73         -   56
  archaea     Bacteroides_B_dorei                       1477           1      1   1508    534.01         -   53
  archaea     Bacteroides_intestinalis                  1468           1      1   1508    545.49         -   51
  archaea     Bacteroides_clarus                          49        1520      1   1508    553.25         -   52
  archaea     Bacteroides_caccae                        1474           1      1   1508    558.10         -   51
  archaea     Bacteroides_stercorirosoris               1467           1      1   1508    523.88         -   50
  archaea     Bacteroides_E_coprosuis                    851         866      1   1508      0.92         -   50
  archaea     Bacteroides_E_coprosuis                   1474           1      1   1508    550.42         -   50
  archaea     Bacteroides_congonensis                     49        1523      1   1508    550.51         -   50
  archaea     Bacteroides_cutis                         1472           1      1   1508    549.70         -   52
  archaea     Bacteroides_A_ilei                          49        1521      1   1508    517.22         -   54
  archaea     Bacteroides_heparinolyticus                 49        1521      1   1508    533.49         -   54
  archaea     Bacteroides_A_mediterraneensis              49        1521      1   1508    538.12         -   53
  archaea     Bacteroides_ndongoniae                      49        1522      1   1508    567.28         -   54
  archaea     Bacteroides_ndongoniae                    1190        1171      1   1508      1.37         -   50
  archaea     Bacteroides_faecis                          49        1522      1   1508    568.18         -   51
  archaea     Bacteroides_B_massiliensis                  49        1523      1   1508    530.26         -   52
  archaea     Bacteroides_luti                            49        1513      1   1508    506.36         -   50
  archaea     Bacteroides_neonati                        850         865      1   1508     -0.73         -   56
  archaea     Bacteroides_neonati                       1464           1      1   1508    545.59         -   51
  archaea     Bacteroides_F_pectinophilus                 50        1527      1   1508    683.74         -   56
  archaea     Bacteroides_F_pectinophilus                662         645      1   1508      0.96         -   67
  archaea     Bacteroides_A_sp002161565                 1473           1      1   1508    510.73         -   58
  archaea     Bacteroides_B_vulgatus                    1473           1      1   1508    538.61         -   53
  archaea     Bacteroides_bouchesdurhonensis             175        1642      1   1508    577.80         -   51
  archaea     Bacteroides_C_paurosaccharolyticus        1352        1362      1   1508     -0.45         -   27
  archaea     Bacteroides_C_paurosaccharolyticus        1476           1      1   1508    514.70         -   51
  archaea     Bacteroides_acidifaciens                  1473           1      1   1508    557.91         -   51
  archaea     Bacteroides_eggerthii                     1472           1      1   1508    543.12         -   52
  archaea     Bacteroides_oleiciplenus                  1469           1      1   1508    542.58         -   50
#
# Post-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut  num hits  surv fract
# ---  ---  ---  ---  -----  ----------  --------  ----------
#   1  hmm  vit  loc      -       -1.00        71      0.4755
#
#    run time  (hr:min:sec)
# -----------
#    00:00:19
#
# Pre-search info for CM 2: bacteria
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: bacteria
#                                                           target coord   query coord                         
#                                                 ----------------------  ------------                         
# model name  target name                              start        stop  start   stop    bit sc   E-value  GC%
# ----------  ----------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  bacteria    Parabacteroides_timonensis                1523           1      1   1582   1693.80         -   51
